alpha (deg),CL_corrected,CD_vlm,Cm_vlm
-10.0,0.1637836268379829,0.004617104329778209,-0.39311804391829924
-9.0,0.2341309024374182,0.006672800857471271,-0.41615362888614243
-8.0,0.3044068594958942,0.009433929017722303,-0.43913022199415924
-7.0,0.3745900912761123,0.012899189797930482,-0.4620198298029156
-6.0,0.44465921928579194,0.017065131844789624,-0.4847945648511721
-5.0,0.5145928997897661,0.021926159082331816,-0.5074266796324517
-4.0,0.5843698303114913,0.027474544276795184,-0.529888600401104
-3.0,0.653968756121986,0.03370044851168715,-0.5521529607666664
-2.0,0.7233684767142283,0.04059194652017496,-0.5741926350355929
-1.0,0.7925478522610356,0.048135057805870574,-0.5959807712597406
0.0,0.8614858100544619,0.05631378346718614,-0.6174908239513239
1.0,0.9301613509247438,0.06511014862478201,-0.6386965864245086
2.0,0.9985535556368585,0.0745042503362525,-0.6595722227242167
3.0,1.0666415912627216,0.0844743108671275,-0.680092299103266
4.0,1.134404717527097,0.09499673617257151,-0.7002318150094611
5.0,1.2018222931252873,0.10604617942985246,-0.7199662335449256
6.0,1.2688737820106781,0.11759560944778716,-0.7392715113605293
7.0,1.3355387596502117,0.1296163837659889,-0.7581241279490039
8.0,1.4017969192459039,0.14207832624384567,-0.776501114301056
9.0,1.467628077920479,0.15494980892686147,-0.7943800808895749
10.0,1.533012182865289,0.1681978379662101,-0.8117392449478198
11.0,1.5979293174485751,0.1817881433562436,-0.8285574570083554
12.0,1.6623597072822776,0.19568527224421386,-0.844814226670434
13.0,1.7262837262455015,0.20985268555661823,-0.8604897475643858
14.0,1.7896819024628254,0.22425285767750958,-0.8755649214826364
15.0,1.8525349242356208,0.23884737890569907,-0.8900213816479088
16.0,1.914823645924585,0.2535970604101368,-0.903841515090345
17.0,1.9763083968749398,0.2684620413958952,-0.9170084841061737
18.0,1.951597903594039,0.2834018981871269,-0.9295062467718626
19.0,1.8935747518113766,0.29837575492798984,-0.9413195764887372
20.0,1.8309124932774394,0.3133423955982188,-0.9524340805342403
21.0,1.7655452964231708,0.3282603770363024,-0.9628362175972515
22.0,1.6984045321357324,0.3430881426604238,-0.9725133142760852
23.0,1.6299763551093105,0.35778413657547514,-0.9814535805190866
24.0,1.5606246175838774,0.3723069177533001,-0.9896461239889697
25.0,1.4905327672963455,0.38661527397310547,-0.9970809633334945
26.0,1.4198911786081454,0.40066833520968587,-1.003749040346158
27.0,1.3488592164553117,0.4144256861584581,-1.0096422310022626
28.0,1.2774337734448107,0.4278474775888117,-1.014753355356773
29.0,1.2056895102120275,0.44089453622033214,-1.0190761862919677
30.0,1.1338454302296683,0.4535284728205583,-1.0226054571042333
